network,station,latitude,longitude,start_year,end_year,smap_lat,smap_lon,chirps25_lat,chirps25_lon,chirps05_lat,chirps05_lon,MAP,location,MEAN_PET,AI,era5_lat,era5_lon,MAT,LAI_max,LAI_mean
ARM,Newkirk,36.926,-97.082,2011,2024,37.07728,-96.908714,36.875,-97.125,36.924995,-97.075005,966.4642333984376,"('ARM', 'Newkirk')",1221.8973388671875,0.7909537099855213,36.75,-97.25,15.190063,2.5480000240000003,0.8996122695224587
ARM,Okmulgee,35.615,-96.065,1999,2014,35.680595,-96.16183,35.625,-96.125,35.625,-96.075005,1107.841552734375,"('ARM', 'Okmulgee')",1207.27392578125,0.9176389293900054,35.75,-96.25,16.255493,4.284000072,1.4579427069257358
ARM,Omega,35.88,-98.173,2011,2021,36.027473,-98.029045,35.875,-98.125,35.875,-98.175,832.1357421875,"('ARM', 'Omega')",1383.1524658203125,0.6016225707221521,35.75,-98.25,15.685974,2.372000036,0.8831274469153779
ARM,Pawhuska,36.841,-96.427,1996,2024,36.72578,-96.53527,36.875,-96.375,36.824997,-96.425,1011.7232055664062,"('ARM', 'Pawhuska')",1169.104248046875,0.8653832258813599,36.75,-96.25,15.027679,5.5080001119999995,1.461981613734867
ARM,Pawnee,36.31937,-96.76203,2015,2023,36.375854,-96.908714,36.375,-96.875,36.324997,-96.775,960.9863891601562,"('ARM', 'Pawnee')",1204.7586669921875,0.7976588303443083,36.25,-96.75,15.778076,2.4760000399999997,0.9275763099537718
ARM,Plevna,37.953,-98.329,1996,2011,37.785137,-98.40249,37.875,-98.375,37.975,-98.325005,741.1710815429688,"('ARM', 'Plevna')",1248.844970703125,0.5934852595239859,37.75,-98.25,13.526581,1.740000016,0.6666017800423567
ARM,Ringwood,36.431,-98.284,1993,2023,36.375854,-98.40249,36.375,-98.375,36.424995,-98.275,774.8563842773438,"('ARM', 'Ringwood')",1356.721435546875,0.5711241556119515,36.25,-98.25,15.574432,2.104000052,0.8884991849403298
ARM,Seminole,35.246,-96.736,1996,2002,35.335194,-96.908714,35.125,-96.625,35.225,-96.725006,1040.6591796875,"('ARM', 'Seminole')",1215.6212158203125,0.8560719129809309,35.25,-96.75,16.451385,2.088000036,0.8502088296351745
ARM,Towanda,37.842,-97.02,1996,2011,37.785137,-96.908714,37.875,-97.125,37.824997,-97.025,902.206787109375,"('ARM', 'Towanda')",1173.440185546875,0.7688562214092802,37.75,-97.25,13.781555,2.916000052,0.9489997485747947
ARM,Tryon,35.8615,-97.0695,2016,2023,36.027473,-96.908714,35.875,-97.125,35.875,-97.075005,972.185791015625,"('ARM', 'Tryon')",1242.3094482421875,0.7825633077098662,35.75,-97.25,16.054108,2.436000048,0.9305586108594371
